Tipo,X,Y
Calculada,-0.9,-0.9
Calculada,-0.7000000000000001,-0.7000000000000001
Calculada,-0.5,-0.7000000000000001
Calculada,-0.29999999999999993,-0.7000000000000001
Calculada,-0.09999999999999995,-0.7000000000000001
Calculada,0.1,-0.7000000000000001
Calculada,0.30000000000000016,-0.7000000000000001
Calculada,0.5000000000000001,-0.7000000000000001
Calculada,0.7000000000000001,-0.5
Calculada,0.7000000000000001,-0.29999999999999993
Calculada,0.7000000000000001,-0.09999999999999995
Calculada,0.7000000000000001,0.1
Calculada,0.7000000000000001,0.30000000000000016
Calculada,0.7000000000000001,0.5000000000000001
Calculada,0.7000000000000001,0.7000000000000001
Calculada,0.9,0.9
Ejecutada,-0.82,-0.82
Ejecutada,-0.82,-0.82
Ejecutada,-0.82,-0.82
Ejecutada,-0.8117606399999999,-0.82
Ejecutada,-0.8035212799999999,-0.82
Ejecutada,-0.7954106599999999,-0.82
Ejecutada,-0.7871712999999999,-0.82
Ejecutada,-0.7789319399999999,-0.82
Ejecutada,-0.7706925799999998,-0.82
Ejecutada,-0.7625819599999999,-0.82
Ejecutada,-0.7543425999999999,-0.82
Ejecutada,-0.7461032399999998,-0.82
Ejecutada,-0.7378638799999998,-0.82
Ejecutada,-0.7296245199999998,-0.82
Ejecutada,-0.7215138999999998,-0.82
Ejecutada,-0.7132745399999998,-0.82
Ejecutada,-0.7050351799999998,-0.82
Ejecutada,-0.6967958199999997,-0.82
Ejecutada,-0.6886851999999998,-0.82
Ejecutada,-0.6804458399999997,-0.82
Ejecutada,-0.6722064799999997,-0.82
Ejecutada,-0.6639671199999997,-0.82
Ejecutada,-0.6557277599999997,-0.82
Ejecutada,-0.6476171399999997,-0.82
Ejecutada,-0.6393777799999997,-0.82
Ejecutada,-0.6311384199999996,-0.82
Ejecutada,-0.6228990599999996,-0.82
Ejecutada,-0.6146596999999996,-0.82
Ejecutada,-0.6065490799999996,-0.82
Ejecutada,-0.5983097199999996,-0.82
Ejecutada,-0.5900703599999996,-0.82
Ejecutada,-0.5818309999999995,-0.82
Ejecutada,-0.5737203799999996,-0.82
Ejecutada,-0.5654810199999996,-0.82
Ejecutada,-0.5572416599999995,-0.82
Ejecutada,-0.5490022999999995,-0.82
Ejecutada,-0.5407629399999995,-0.82
Ejecutada,-0.5326523199999995,-0.82
Ejecutada,-0.5244129599999995,-0.82
Ejecutada,-0.5161735999999995,-0.82
Ejecutada,-0.5079342399999994,-0.82
Ejecutada,-0.49969487999999945,-0.82
Ejecutada,-0.49158425999999944,-0.82
Ejecutada,-0.4833448999999994,-0.82
Ejecutada,-0.4751055399999994,-0.82
Ejecutada,-0.46686617999999935,-0.82
Ejecutada,-0.45875555999999934,-0.82
Ejecutada,-0.4505161999999994,-0.82
Ejecutada,-0.4422768399999994,-0.82
Ejecutada,-0.43403747999999936,-0.82
Ejecutada,-0.42579811999999934,-0.82
Ejecutada,-0.4176874999999993,-0.82
Ejecutada,-0.4094481399999993,-0.82
Ejecutada,-0.40120877999999927,-0.82
Ejecutada,-0.39296941999999924,-0.82
Ejecutada,-0.3847300599999993,-0.82
Ejecutada,-0.3766194399999993,-0.82
Ejecutada,-0.3683800799999993,-0.82
Ejecutada,-0.36014071999999925,-0.82
Ejecutada,-0.3519013599999992,-0.82
Ejecutada,-0.3436619999999992,-0.82
Ejecutada,-0.3355513799999992,-0.82
Ejecutada,-0.32731201999999915,-0.82
Ejecutada,-0.31907265999999923,-0.82
Ejecutada,-0.3108332999999992,-0.82
Ejecutada,-0.3027226799999992,-0.82
Ejecutada,-0.29448331999999916,-0.82
Ejecutada,-0.28624395999999913,-0.82
Ejecutada,-0.2780045999999991,-0.82
Ejecutada,-0.2697652399999991,-0.82
Ejecutada,-0.26165461999999906,-0.82
Ejecutada,-0.25341525999999903,-0.82
Ejecutada,-0.2451758999999991,-0.82
Ejecutada,-0.23693653999999909,-0.82
Ejecutada,-0.22869717999999908,-0.82
Ejecutada,-0.22058655999999907,-0.82
Ejecutada,-0.21234719999999907,-0.82
Ejecutada,-0.20410783999999907,-0.82
Ejecutada,-0.19586847999999907,-0.82
Ejecutada,-0.18775785999999905,-0.82
Ejecutada,-0.1795184999999991,-0.82
Ejecutada,-0.1712791399999991,-0.82
Ejecutada,-0.16303977999999902,-0.82
Ejecutada,-0.15480041999999908,-0.82
Ejecutada,-0.14668979999999907,-0.82
Ejecutada,-0.13845043999999912,-0.82
Ejecutada,-0.13021107999999904,-0.82
Ejecutada,-0.1219717199999991,-0.82
Ejecutada,-0.11373235999999902,-0.82
Ejecutada,-0.10562173999999902,-0.82
Ejecutada,-0.09738237999999909,-0.82
Ejecutada,-0.089143019999999,-0.82
Ejecutada,-0.08090365999999907,-0.82
Ejecutada,-0.07279303999999907,-0.82
Ejecutada,-0.06455367999999914,-0.82
Ejecutada,-0.05631431999999906,-0.82
Ejecutada,-0.04807495999999912,-0.82
